H,V
001,004
001,005
001,006
001,007
001,008
001,009
001,010
002,001
002,002
002,003
002,004
002,005
002,006
002,007
002,008
002,009
002,010
002,011
002,012
003,000
003,001
003,002
003,003
003,004
003,005
003,006
003,007
003,008
003,009
003,010
003,011
003,012
003,013
004,000
004,001
004,002
004,003
004,004
004,005
004,006
004,007
004,008
004,009
004,010
004,011
004,012
005,001
005,002
005,003
005,004
005,005
005,006
005,007
005,008
005,009
005,010
005,011
005,012
005,013
005,014
006,001
006,002
006,003
006,004
006,005
006,006
006,007
006,008
006,009
006,010
006,011
006,012
006,013
006,014
007,001
007,002
007,003
007,004
007,005
007,006
007,007
007,008
007,009
007,010
007,011
007,012
007,013
007,014
007,015
008,001
008,002
008,003
008,004
008,005
008,006
008,007
008,008
008,009
008,010
008,011
008,012
008,013
008,014
008,015
